step,host,command,args,expectedOut,expectedOutCode,expectedExit,timeout
Edit an existing user in openIDM with firstName missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""lastName"":""smith"", ""email"":""openidmtafjohn@example.com"", ""password"":""TestPassw0rd"", ""userType"":""enmUser"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""firstName""",0,0,10000
Edit an existing user in openIDM with lastName missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":""openidmtafjohn"", ""email"":""openidmtafjohn@example.com"", ""password"":""TestPassw0rd"", ""userType"":""enmUser"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""lastName""",0,0,10000
Edit an existing user in openIDM with email missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":""openidmtafjohn"", ""lastName"":""smith"", ""password"":""TestPassw0rd"", ""userType"":""enmUser"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""email""",0,0,10000
Edit an existing user in openIDM with password missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":""openidmtafjohn"", ""lastName"":""smith"", ""email"":""openidmtafjohn@example.com"", ""userType"":""enmUser"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""password""",0,0,10000
Edit an existing user in openIDM with userType missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":""openidmtafjohn"", ""lastName"":""smith"", ""email"":""openidmtafjohn@example.com"", ""password"":""TestPassw0rd"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""userType""",0,0,10000
Edit an existing user in openIDM with status missing,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":""openidmtafjohn"", ""lastName"":""smith"", ""email"":""openidmtafjohn@example.com"", ""password"":""TestPassw0rd"", ""userType"":""enmUser""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirement"":""REQUIRED""}],""property"":""status""",0,0,10000
Edit an existing user in openIDM with a null-value firstName,sc1,curl,"--header ""If-Match:\""*\"""" --header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request PUT --data '{""userName"":""openidmtafjohn"", ""firstName"":null, ""lastName"":""smith"", ""email"":""openidmtafjohn@example.com"", ""password"":""TestPassw0rd"", ""userType"":""enmUser"", ""status"":""Enabled""}' https://HTTPD_HOST_NAME/openidm/managed/user/openidmtafjohn","[{""policyRequirements"":[{""policyRequirement"":""REQUIRED""},{""policyRequirement"":""VALID_NAME_FORMAT""}],""property"":""firstName""}]",0,0,10000
Edit an existing user in openIDM with a null-value lastName,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request POST -d '[{""replace"":""lastName"", ""value"": null}]' ""https://HTTPD_HOST_NAME/openidm/managed/user?_action=patch&_queryId=for-userName&uid=openidmtafjohn""","[{""policyRequirement"":""REQUIRED""},{""policyRequirement"":""VALID_NAME_FORMAT""}],""property"":""lastName""}]",0,0,10000
Edit an existing user in openIDM with a null-value email,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request POST -d '[{""replace"":""email"", ""value"": null}]' ""https://HTTPD_HOST_NAME/openidm/managed/user?_action=patch&_queryId=for-userName&uid=openidmtafjohn""","[{""policyRequirements"":[{""policyRequirement"":""REQUIRED""},{""policyRequirement"":""VALID_EMAIL_ADDRESS_FORMAT""}],""property"":""email""}]",0,0,10000
Edit an existing user in openIDM with a null-value password,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request POST -d '[{""replace"":""password"", ""value"": null}]' ""https://HTTPD_HOST_NAME/openidm/managed/user?_action=patch&_queryId=for-userName&uid=openidmtafjohn""","""property"":""password""}]",0,0,10000
