step,host,command,args,expectedOut,expectedExit,timeout
Verify querying SECURITY_ADMIN in OpenIDM,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt https://HTTPD_HOST_NAME/openidm/managed/role/SECURITY_ADMIN","""roleName"":""SECURITY_ADMIN""",0,10000
Verify querying ADMINISTRATOR in OpenIDM,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt https://HTTPD_HOST_NAME/openidm/managed/role/ADMINISTRATOR","""roleName"":""ADMINISTRATOR""",0,10000
Verify querying OPERATOR in OpenIDM,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt https://HTTPD_HOST_NAME/openidm/managed/role/OPERATOR","""roleName"":""OPERATOR""",0,10000
Verify querying FIELD_TECHNICIAN in OpenIDM,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt https://HTTPD_HOST_NAME/openidm/managed/role/FIELD_TECHNICIAN","""roleName"":""FIELD_TECHNICIAN""",0,10000
Verify querying SECURITY_ADMIN role in OpenDJ from SC1,sc1,ldapsearch,"-p 1636 --useSSL --trustAll -D ""cn=directory manager"" -w OPENDJ_ADMIN_PASSWORD -b ""ou=roles,COM_INF_LDAP_ROOT_SUFFIX"" cn=SECURITY_ADMIN","description: This is the ENM SECURITY_ADMIN Default Role",0,10000
Verify querying ADMINISTRATOR role in OpenDJ from SC1,sc1,ldapsearch,"-p 1636 --useSSL --trustAll -D ""cn=directory manager"" -w OPENDJ_ADMIN_PASSWORD -b ""ou=roles,COM_INF_LDAP_ROOT_SUFFIX"" cn=ADMINISTRATOR","description: This is the ENM ADMINISTRATOR Default Role",0,10000
Verify querying OPERATOR role in OpenDJ,sc1,ldapsearch,"-p 1636 --useSSL --trustAll -D ""cn=directory manager"" -w OPENDJ_ADMIN_PASSWORD -b ""ou=roles,COM_INF_LDAP_ROOT_SUFFIX"" cn=OPERATOR","description: This is the ENM OPERATOR Default Role",0,10000
Verify querying FIELD_TECHNICIAN role in OpenDJ,sc1,ldapsearch,"-p 1636 --useSSL --trustAll -D ""cn=directory manager"" -w OPENDJ_ADMIN_PASSWORD -b ""ou=roles,COM_INF_LDAP_ROOT_SUFFIX"" cn=FIELD_TECHNICIAN","description: This is the ENM FIELD_TECHNICIAN Default Role",0,10000
Verify Querying SECURITY_ADMIN user[administrator] ,sc1,curl,"--header ""X-Requested-With: XMLHttpRequest"" -b COOKIE_FILE --cacert /ericsson/tor/data/certificates/sso/ssoserverapache.crt --request GET  ""https://HTTPD_HOST_NAME/openidm/managed/user/administrator""","""userName"":""administrator""",0,10000
Verify if the SECURITY_ADMIN user[administrator] is created in openDJ,sc1,ldapsearch,"-p 1636 --useSSL --trustAll -D ""cn=directory manager"" -w OPENDJ_ADMIN_PASSWORD -b ""ou=people,COM_INF_LDAP_ROOT_SUFFIX"" uid=administrator","dn: uid=administrator,ou=People",0,10000
